"Region","Income","Employment_status","Age","Random_data","Pets"
"NL","35000","employee","19","stuff","True"
"BE","15000","student","18","stuff","True"
"LU","5000","student","20","stuff","False"
"LU","150000","contractor","25","stuff","True"
"LU","50000","employee","35","stuff","True"
"NL","60000","contractor","27","stuff","False"
"NL","35000","employee","23","stuff","True"
"NL","29500","employee","29","stuff","True"
"BE","185000","employee","45","stuff","False"
"NL","","employee","22","stuff","True"
"BE","40000","","26","stuff","False"
